Name,Field(s),Dates,Notes
Ann Chapman,,1937-2009,First Woman to Lead an Antarctic Expedition
Marie Darby,,,
Edith Farkas,,1921-1993,Ozone Researcher
Roberta Farrell,,,
Christina Hulbe,,,
Pat Langhorne,,,
Victoria Metcalf,,,
Christina Riesselman,,,
Natalie Robinson,,,
Gillian Wratt,,,
Pamela Young,,,first New Zealand woman to live and work in Antarctica
Liv Arnesen,,1953,"Cross-country Skier-first woman to ski alone to the South Pole in 1994,"
Ingrid Christensen,,1891-1976,"Early Polar Explorer-first woman to land on the Antarctic mainland or at least view land in Antarctica (1931,"
Lillemor Rachlew,,1902-1983,One of the First Women to Set Foot on the Antarctic Mainland in 1937
Cecilie Skog,,1974,"Nurse-explorer,adventurer"
Monica Kristensen Solås,,1950,"Glaciologist-meteorologist,explorer"
Namira Salim,,1975,"Explorer-artist,"
Maria Olech,,1941,"Biologist-lichenologist,"
Florica Topârceanu,,1954,"Biologist-medical researcher,"
Maria Klenova,,1898-1976,"Marine Geologist-first women to undertake scientific work in Antarctica in 1956,contributing to the first Soviet Antarctic atlas"
Bettine van Vuuren,,1992,Zoologist
In-Young Ahn,,1982,"Benthic Ecologist-oceanographer,"
Ji Hee Kim,,1991,"Biologist-environmentalist,writer"
Hong Kum Lee,,1989,Marine Biotechnologist
Susana Agustí,,1982,Biological Oceanographer
Josefina Castellví,,1935,"Oceanographer-biologist,writer"
Carlota Escutia Dotti,,1982,Geologist
Elisabeth Isaksson,,1986,"Glaciologist-geologist,"
Anna Wåhlin,,1970,Physical Oceanographer
Tina Sjögren,,1959,"Czech-born Mountaineer-explorer,first woman to complete the Three Poles Challenge in 2002"
Annelie Pompe,,1981,"Adventurer-has climbed all seven summits,including Mount Vinson."
Johanna Davidsson,,1983,"Adventurer-has skied alone from the coast to the South Pole.,"
Marilyn Raphael,,1990,"Climatologist-educator,writer"
Burcu Özsoy,,1976,Scientist
Şahika Ercümen,,1985,Freediver
Halyna Kolotnytska,,1972,Cook of The Second Ukrainian Antarctic Expedition 1997/98
Louise Allcock,,1992,"Marine Biologist-editor,"
Felicity Aston,,1977,"Explorer-climate scientist,"
Kim Crosbie,,1969,"Environmentalist-citizen scientist,writer"
Ginny Fiennes,,1947-2004,"Explorer-her Transglobe Expedition team was the first to reach the two poles,"
Jane Francis,,1956,"Palaeoclimatologist-director of the British Antarctic Survey,"
Helen Fricker,,1991,"Glaciologist-writer,"
Karen Heywood,,1983,"Oceanographer-educator,"
Eleanor Honnywill,,1919-2003,"Contributor to the British Antarctic Survey-writer,"
Joanne Johnson,,1977,"Geologist-writer,"
Hannah McKeand,,1973,
Tavi Murray,,1990,Glaciologist
Elizabeth Morris,,1946,Glaciologist
Pom Oliver,,1952,"Explorer-film producer,"
Sharon Robinson,,1961,"Plant Physiologist-climate change biologist,"
Jane Rumble,,,
Rosie Stancer,,1960,"Explorer-adventurer,"
Janet Thomson,,1942,"Geologist-first British woman to undertake field research in Antarctica,"
Fiona Thornewill,,1966,Explorer
Jemma Wadham,,1998,Glacial Biogeochemist
Ann Bancroft,,1955,"Writer-educator,adventurer"
Jenny Baeseman,,1998,"Civil Engineer-environmentalist,geoscientist"
Robin Bell,,1980,Polar Ice Specialist
Mary Odile Cahoon,,1929-2011,"Benedictine Nun-early Antarctic biological researcher,"
Kelly Falkner,,1960,"Chemical Oceanographer-educator,"
Patricia Hepinstall,,,
Barbara Hillary,,1931-2019,"-First African-American Woman to Reach Both Poles,"
Louise Huffman,,1951,Educator Specializing in Polar Science
Christina Hulbe,,1994,"Geologist-educator,"
Lois Jones,,1935-2000,"Geochemist-led the first all-woman science team to Antarctica in 1969,"
Kelly Jemison,,,
Ruth Kelley,,,
Amy Leventer,,1982,"Marine Biologist-micropaleontologist,"
Diane McKnight,,1953,"Environmental Engineer-educator,editor"
Mary Alice McWhinnie,,1922-1980,"Biologist-first American woman to head an Antarctic research station,"
Jill Mikucki,,1996,Microbiologist
Robyn Millan,,1995,"Astronomist-physicist,investigating radiation belts"
Tori Murden,,1963,"Explorer-first woman to reach the South Pole by land in 1989,"
Alison Murray,,1989,Microbiologist
Jerri Nielsen,,1952-2009,"Physician-writer,"
Julie Palais,,1974,Glaciologist
Irene C. Peden,,1925,"Electrical Engineer-first American scientist to work in the Antarctic interior in 1970,"
Ann Peoples,,1979,First American Woman to Have a Management Position in Antarctica
Erin Pettit,,1971,Glaciologist
Vanessa O'Brien,,1964,"Mountain Climber-explorer,"
Christina Riesselman,,2001,Paleoceanographer
Michelle Rogan-Finnemore,,1981,"Scientist-legal expert,"
Jackie Ronne,,1919-2009,"Explorer-first woman to be a working member of an Antarctic expedition (1947-48,"
Christine Siddoway,,1961,Structural Geologist
Deborah Steinberg,,1987,"Oceanographer-zooplankton ecologist,"
Cristina Takacs-Vesbach,,1968,Microbial Ecologist
Lynne Talley,,1954,Physical Oceanographer
Trista Vick-Majors,,2000,Microbial Ecologist
Diana Wall,,1971,Environmental Scientist and a Soil Ecologist
Sophie Warny,,1969,Belgian-born Palynologist
Terry Wilson,,1954,"Geologist-tectonics specialist,"
Zuhal Atmar,,,pioneering environmentalist who ran a recycling plant
Faiza Darkhani,,1992,climate change scholar
Inés Camilloni,,1964,
Nerilie Abram,,1977,
Tracy Ainsworth,,,marine biologist working on coral reefs
Lisa Alexander,,,international expert on heatwaves
Julie Arblaster,,,climate change researcher
Sue Barrell,,,meteorologist active in climate monitoring and ocean-earth observations
Kirsten Benkendorff,,1973,
Wendy Bowman,,1934,
Wendy Craik,,1949,
Adriana Dutkiewicz,,,sedimentologist at the University of Sydney
Ann Henderson-Sellers,,,
Taryn Lane,,,renewable energy expert
Judith Lean,,,Australian-American solar and climate scientist
India Logan-Riley,,,Māori climate activist
Janice Lough,,,climate scientist researching coral reefs
Amanda Lynch,,,Professor at Brown University researching atmospheric and climate change science
Cara Augustenborg,,,
Ann Henderson-Sellers,,1952,
Jane McAdam,,1974,
Helen McGregor,,,geologist and climate change researcher
Amanda McKenzie,,,commentator on climate change
Jessica Melbourne-Thomas,,,marine ecologist and ecosystem modeller
Sam Mostyn,,1964,
Sarah Perkins-Kirkpatrick,,1983,
Anjali Sharma,,2004,
Kate Trinajstic,,,paleontologist and evolutionary biologist
Jo Vallentine,,1946,
Carden Wallace,,,marine biologist and museum director
Shemara Wikramanayake,,1962,
Penny Whetton,,,
Katherine Woodthorpe,,,executive involved in bushfire and natural hazards
Margaretha Guidone,,1956,
Ximena Vélez Liendo,,1976,
Rosaly Lopes,,1957,
Antônia Melo,,1949,
Sevidzem Ernestine Leikeki,,1985,
Eriel Deranger,,1979,
Marie-Josée Fortin,,1958,
Natalya Gomez,,,climate-ice sheet-solid earth modeler
Katharine Hayhoe,,1972,global climate models
Nasrin Husseini,,,Afghan-born refugee
Naomi Klein,,1970,filmmaker and environmental activist
Melina Laboucan-Massimo,,,climate justice and Indigenous rights activist
Corinne Le Quéré,,1966,University of East Anglia
Deborah Martin-Downs,,,aquatic biologist
Line Rochefort,,,ecologist specializing in peatland restoration
Marie Sanderson,,,
Hindou Oumarou Ibrahim,,,environmental activist and geographer
Adriana Hoffmann,,,
Sara Larraín,,1962,
Veronica Vallejos,,,
Chai Jing,,1976,
Howey Ou,,2003,
Xiomara Acevedo,,,climate change activist coordinating government policy
Paola Arias,,,climate change researcher
Martha Peralta Epieyú,,,politician and lawyer specializing in environmental law
Aída Quilcué,,1990,
Diana Marcela Bolaños Rodriguez,,1981,
Christiana Figueres,,1956,
Inger Andersen,,,Danish environmentalist
Inger Andersen,,1958,
Lone Drøscher Nielsen,,1984,
Inge Lehmann,,,
Signe Normand,,,biologist researching vegetation in the arctic tundra
Idelisa Bonnelly,,,
Anita Rivas,,1972,
Kavita Naidu,,,lawyer working on international climate change law
Hanna Kokko,,1971,
Hélène Bergès,,1966,
Pascale Braconnot,,,climate scientist
Valérie Cabanes,,1969,
Anny Cazenave,,1944,
Françoise Gasse,,,
Amaelle Landais-Israël,,1977,
Marguerite Augusta Marie Löwenhielm,,,mycologist studying the effectiveness of American grapevine against harmful insect pest
Valerie Masson-Delmotte,,,focus on paleoclimatology at the Climate and Environment Sciences Laboratory
Anaïs Orsi,,,climate scientist studying global warming through changes in polar ice
Magali Reghezza-Zitt,,,geographer and co-director of the Centre de formation sur l'environnement et la société at the École normale supérieure. Her work focuses on the notions of risk and crisis
Catherine Ritz,,,Antarctic researcher working on ice sheets and rise in sea level
Françoise Vimeux,,,climatologist
Silvia Bender,,1970,
Nancy Bertler,,,Antarctic researcher investigating climate history
Lina Eichler,,2002,
Sabine Fuss,,,climate scientist focusing on sustainable resource management
Ulrike Lohmann,,1966,
Katrin Meissner,,,German and Australian physical oceanographer and climate scientist
Friederike Otto,,1982,associate director of the Environmental Change Institute
Ricarda Winkelmann,,1985,land ice and the ocean
Kirsten Zickfeld,,,climate physicist now based in Canada
Nana Klutse,,1981,
Nicole Hernandez Hammer,,,Guatemalan-American climate scientist studying sea level rise
Augusta Henriques,,1991,
Berta Cáceres,,,
Sigríður Tómasdóttir,,,
Sunita Narain,,,
Sulochana Gadgil,,1944,
Paramjit Khurana,,1956,
Sunita Narain,,1961,clean energy advocate and political activist
Medha Patkar,,1964,rights activist and environmentalist
Yuyun Ismawati,,1964,
Mia Krisna Pratiwi,,1996,
Swietenia Puspa Lestari,,1994,
Tara Shine,,,Irish environmental scientist
Anna Kernahan,,,climate activist
Cara Augustenborg,,1978,also has US citizenship
Karin Dubsky,,1954,
Tara Shine,,,environmental scientist
Simona Bordoni,,1972,
Nicola Scafetta,,1975,
Wangari Maathai,,,
Wangari Maathai,,,Nobel Peace Prize winner
Niane Sivongxay,,,zoologist specializing in zooplankton and amphibians
Marie Christina Kolo,,1989,
Julie Hanta Razafimanahaka,,,conservation biologist
Kathy Jetn̄il-Kijiner,,,poet and climate change activist
Selina Leem,,,climate change activist and spoken word performer
María Elena Caso,,,
Enriqueta Legorreta,,,
Enriqueta Medellín,,,the Premio al Mérito Ecológico in 2012
Elisabeth Gottschalk,,,
Saskia Ozinga,,1960,
Gillian Wratt,,,New Zealand Arctic researcher
Rosemary Askin,,1949,Antarctic researcher
Helen Plume,,,ministerial climate change expert
Gillian Wratt,,1954,
Mariama Mamane,,,environmentalist focusing on the ecology of rivers
